,team,total,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,Home,index_opp,team_opp,total_opp,Pace_opp,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp,ORtg_opp,Home_opp,season,date,won
362,LAL,99,92.9,0.571,14.3,10.0,0.128,106.6,0,1,DEN,101,92.9,0.489,8.6,20.9,0.17,108.8,1,2024,2024-04-22,False
363,DEN,101,92.9,0.489,8.6,20.9,0.17,108.8,1,0,LAL,99,92.9,0.571,14.3,10.0,0.128,106.6,0,2024,2024-04-22,True
364,BRK,109,94.3,0.552,7.5,19.5,0.031,115.5,0,1,CHI,107,94.3,0.545,9.5,22.5,0.112,113.4,1,2024,2023-11-03,True
365,CHI,107,94.3,0.545,9.5,22.5,0.112,113.4,1,0,BRK,109,94.3,0.552,7.5,19.5,0.031,115.5,0,2024,2023-11-03,False
366,CHI,126,103.1,0.582,12.1,25.6,0.207,122.2,0,1,DET,108,103.1,0.443,12.1,31.5,0.227,104.8,1,2023,2023-01-19,True
367,DET,108,103.1,0.443,12.1,31.5,0.227,104.8,1,0,CHI,126,103.1,0.582,12.1,25.6,0.207,122.2,0,2023,2023-01-19,False
368,MIN,107,97.9,0.5,14.1,27.0,0.23,109.3,0,1,PHO,116,97.9,0.556,8.4,17.9,0.191,118.5,1,2023,2022-11-01,False
369,PHO,116,97.9,0.556,8.4,17.9,0.191,118.5,1,0,MIN,107,97.9,0.5,14.1,27.0,0.23,109.3,0,2023,2022-11-01,True
370,OKC,105,96.0,0.511,12.5,27.7,0.108,109.4,0,1,LAC,127,96.0,0.667,12.3,22.9,0.179,132.3,1,2023,2023-03-23,False
371,LAC,127,96.0,0.667,12.3,22.9,0.179,132.3,1,0,OKC,105,96.0,0.511,12.5,27.7,0.108,109.4,0,2023,2023-03-23,True
372,DET,92,102.9,0.457,18.7,15.6,0.222,89.4,0,1,PHI,124,102.9,0.49,9.0,31.4,0.286,120.5,1,2024,2023-12-15,False
373,PHI,124,102.9,0.49,9.0,31.4,0.286,120.5,1,0,DET,92,102.9,0.457,18.7,15.6,0.222,89.4,0,2024,2023-12-15,True
374,CHO,115,111.5,0.428,8.2,26.5,0.18,103.2,0,1,MIL,124,111.5,0.481,9.3,26.7,0.219,111.2,1,2023,2023-01-31,False
375,MIL,124,111.5,0.481,9.3,26.7,0.219,111.2,1,0,CHO,115,111.5,0.428,8.2,26.5,0.18,103.2,0,2023,2023-01-31,True
