,team,total,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,Home,index_opp,team_opp,total_opp,Pace_opp,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp,ORtg_opp,Home_opp,season,date,won
683,PHI,114,104.3,0.506,14.5,20.9,0.284,109.3,1,0,OKC,133,104.3,0.593,9.9,14.3,0.36,127.5,0,2023,2023-01-12,False
684,MEM,108,93.3,0.532,13.0,35.2,0.074,115.7,0,1,TOR,100,93.3,0.494,16.0,30.0,0.278,107.1,1,2024,2024-01-22,True
685,TOR,100,93.3,0.494,16.0,30.0,0.278,107.1,1,0,MEM,108,93.3,0.532,13.0,35.2,0.074,115.7,0,2024,2024-01-22,False
686,TOR,131,105.3,0.654,10.7,12.8,0.085,124.4,0,1,LAL,132,105.3,0.642,13.4,13.5,0.346,125.3,1,2024,2024-01-09,False
687,LAL,132,105.3,0.642,13.4,13.5,0.346,125.3,1,0,TOR,131,105.3,0.654,10.7,12.8,0.085,124.4,0,2024,2024-01-09,True
688,CHI,116,103.1,0.511,11.7,24.0,0.226,112.5,0,1,MIA,108,103.1,0.538,17.1,19.0,0.275,104.7,1,2023,2022-10-19,True
689,MIA,108,103.1,0.538,17.1,19.0,0.275,104.7,1,0,CHI,116,103.1,0.511,11.7,24.0,0.226,112.5,0,2023,2022-10-19,False
690,WAS,123,103.1,0.562,13.2,17.1,0.395,119.3,0,1,BRK,125,103.1,0.581,13.2,23.3,0.291,121.2,1,2023,2023-02-04,False
691,BRK,125,103.1,0.581,13.2,23.3,0.291,121.2,1,0,WAS,123,103.1,0.562,13.2,17.1,0.395,119.3,0,2023,2023-02-04,True
692,DET,93,100.7,0.43,19.0,23.4,0.316,92.4,0,1,PHI,113,100.7,0.5,10.5,27.1,0.215,112.3,1,2023,2022-12-21,False
693,PHI,113,100.7,0.5,10.5,27.1,0.215,112.3,1,0,DET,93,100.7,0.43,19.0,23.4,0.316,92.4,0,2023,2022-12-21,True
694,OKC,101,99.0,0.471,7.6,8.5,0.218,102.0,0,1,HOU,110,99.0,0.572,17.0,27.8,0.181,111.1,1,2024,2023-12-06,False
695,HOU,110,99.0,0.572,17.0,27.8,0.181,111.1,1,0,OKC,101,99.0,0.471,7.6,8.5,0.218,102.0,0,2024,2023-12-06,True
696,DEN,102,97.1,0.5,12.7,26.1,0.133,105.0,0,1,CHO,95,97.1,0.432,14.8,26.5,0.216,97.8,1,2024,2023-12-23,True
697,CHO,95,97.1,0.432,14.8,26.5,0.216,97.8,1,0,DEN,102,97.1,0.5,12.7,26.1,0.133,105.0,0,2024,2023-12-23,False
698,BOS,116,82.2,0.66,7.5,31.4,0.111,141.1,0,1,NYK,102,82.2,0.53,12.7,37.5,0.183,124.1,1,2024,2024-02-24,True
699,NYK,102,82.2,0.53,12.7,37.5,0.183,124.1,1,0,BOS,116,82.2,0.66,7.5,31.4,0.111,141.1,0,2024,2024-02-24,False
700,DAL,101,91.6,0.522,11.5,8.1,0.42,110.2,0,1,LAC,113,91.6,0.523,8.3,29.3,0.267,123.3,1,2023,2023-01-10,False
701,LAC,113,91.6,0.523,8.3,29.3,0.267,123.3,1,0,DAL,101,91.6,0.522,11.5,8.1,0.42,110.2,0,2023,2023-01-10,True
702,PHO,129,101.6,0.567,9.4,25.0,0.196,127.0,0,1,MIN,117,101.6,0.583,17.1,23.5,0.333,115.2,1,2023,2022-11-09,True
703,MIN,117,101.6,0.583,17.1,23.5,0.333,115.2,1,0,PHO,129,101.6,0.567,9.4,25.0,0.196,127.0,0,2023,2022-11-09,False
704,OKC,113,97.7,0.57,8.4,16.7,0.075,115.6,0,1,SAC,118,97.7,0.54,13.1,31.7,0.276,120.8,1,2023,2023-01-20,False
705,SAC,118,97.7,0.54,13.1,31.7,0.276,120.8,1,0,OKC,113,97.7,0.57,8.4,16.7,0.075,115.6,0,2023,2023-01-20,True
706,POR,121,96.2,0.586,8.6,16.7,0.218,125.8,0,1,CHI,129,96.2,0.675,11.7,18.8,0.263,134.2,1,2023,2023-02-04,False
707,CHI,129,96.2,0.675,11.7,18.8,0.263,134.2,1,0,POR,121,96.2,0.586,8.6,16.7,0.218,125.8,0,2023,2023-02-04,True
708,PHI,129,98.8,0.591,12.7,39.0,0.204,130.5,0,1,SAC,127,98.8,0.625,7.6,11.8,0.262,128.5,1,2023,2023-01-21,True
709,SAC,127,98.8,0.625,7.6,11.8,0.262,128.5,1,0,PHI,129,98.8,0.591,12.7,39.0,0.204,130.5,0,2023,2023-01-21,False
710,DET,108,97.9,0.489,10.6,26.5,0.196,110.3,0,1,MIL,110,97.9,0.5,13.8,31.8,0.264,112.3,1,2023,2022-10-31,False
711,MIL,110,97.9,0.5,13.8,31.8,0.264,112.3,1,0,DET,108,97.9,0.489,10.6,26.5,0.196,110.3,0,2023,2022-10-31,True
712,SAS,94,99.6,0.416,9.3,22.8,0.099,94.4,0,1,MIN,102,99.6,0.483,12.7,23.4,0.207,102.4,1,2024,2023-12-06,False
713,MIN,102,99.6,0.483,12.7,23.4,0.207,102.4,1,0,SAS,94,99.6,0.416,9.3,22.8,0.099,94.4,0,2024,2023-12-06,True
714,BRK,98,107.5,0.438,17.6,19.6,0.239,91.1,0,1,SAS,106,107.5,0.418,12.1,25.0,0.258,98.6,1,2023,2023-01-17,False
715,SAS,106,107.5,0.418,12.1,25.0,0.258,98.6,1,0,BRK,98,107.5,0.438,17.6,19.6,0.239,91.1,0,2023,2023-01-17,True
716,DET,105,93.0,0.544,13.3,22.5,0.241,112.9,0,1,DAL,111,93.0,0.557,9.7,22.5,0.291,119.3,1,2023,2023-01-30,False
717,DAL,111,93.0,0.557,9.7,22.5,0.291,119.3,1,0,DET,105,93.0,0.544,13.3,22.5,0.241,112.9,0,2023,2023-01-30,True
718,NYK,116,93.3,0.598,14.6,33.3,0.22,124.3,0,1,TOR,125,93.3,0.539,6.2,34.0,0.311,134.0,1,2023,2023-01-22,False
719,TOR,125,93.3,0.539,6.2,34.0,0.311,134.0,1,0,NYK,116,93.3,0.598,14.6,33.3,0.22,124.3,0,2023,2023-01-22,True
720,SAC,93,94.4,0.379,13.1,41.8,0.221,98.5,0,1,PHI,112,94.4,0.511,11.4,31.1,0.183,118.7,1,2024,2024-01-12,False
721,PHI,112,94.4,0.511,11.4,31.1,0.183,118.7,1,0,SAC,93,94.4,0.379,13.1,41.8,0.221,98.5,0,2024,2024-01-12,True
722,CHO,112,95.8,0.568,17.1,21.1,0.136,105.9,0,1,MIA,117,95.8,0.489,8.6,16.0,0.322,110.6,1,2023,2022-11-10,False
723,MIA,117,95.8,0.489,8.6,16.0,0.322,110.6,1,0,CHO,112,95.8,0.568,17.1,21.1,0.136,105.9,0,2023,2022-11-10,True
724,GSW,109,95.7,0.484,11.2,37.2,0.204,113.9,0,1,BRK,98,95.7,0.455,9.2,20.0,0.191,102.4,1,2024,2024-02-05,True
725,BRK,98,95.7,0.455,9.2,20.0,0.191,102.4,1,0,GSW,109,95.7,0.484,11.2,37.2,0.204,113.9,0,2024,2024-02-05,False
726,DEN,128,95.9,0.665,12.2,31.3,0.125,133.4,0,1,OKC,95,95.9,0.444,8.4,15.6,0.167,99.0,1,2024,2023-10-29,True
727,OKC,95,95.9,0.444,8.4,15.6,0.167,99.0,1,0,DEN,128,95.9,0.665,12.2,31.3,0.125,133.4,0,2024,2023-10-29,False
728,LAL,117,98.2,0.5,7.1,27.1,0.272,119.2,0,1,GSW,112,98.2,0.505,6.9,25.9,0.047,114.1,1,2023,2023-05-02,True
729,GSW,112,98.2,0.505,6.9,25.9,0.047,114.1,1,0,LAL,117,98.2,0.5,7.1,27.1,0.272,119.2,0,2023,2023-05-02,False
730,IND,92,88.1,0.519,12.2,23.3,0.099,104.4,0,1,MIL,115,88.1,0.589,9.7,29.7,0.19,130.5,1,2024,2024-04-30,False
731,MIL,115,88.1,0.589,9.7,29.7,0.19,130.5,1,0,IND,92,88.1,0.519,12.2,23.3,0.099,104.4,0,2024,2024-04-30,True
732,OKC,101,90.5,0.489,7.7,30.4,0.157,111.6,0,1,DEN,99,90.5,0.5,8.5,21.7,0.207,109.4,1,2023,2023-01-22,True
733,DEN,99,90.5,0.5,8.5,21.7,0.207,109.4,1,0,OKC,101,90.5,0.489,7.7,30.4,0.157,111.6,0,2023,2023-01-22,False
734,NOP,106,102.3,0.431,5.9,23.2,0.176,103.7,0,1,NYK,128,102.3,0.619,16.2,29.7,0.216,125.2,1,2023,2023-02-25,False
735,NYK,128,102.3,0.619,16.2,29.7,0.216,125.2,1,0,NOP,106,102.3,0.431,5.9,23.2,0.176,103.7,0,2023,2023-02-25,True
736,CHO,104,96.1,0.468,6.4,22.6,0.183,108.3,0,1,WAS,118,96.1,0.592,14.5,28.2,0.172,122.8,1,2023,2023-02-08,False
737,WAS,118,96.1,0.592,14.5,28.2,0.172,122.8,1,0,CHO,104,96.1,0.468,6.4,22.6,0.183,108.3,0,2023,2023-02-08,True
738,TOR,120,94.4,0.619,13.2,21.9,0.19,127.1,0,1,LAC,126,94.4,0.608,6.6,26.8,0.14,133.4,1,2024,2024-01-10,False
739,LAC,126,94.4,0.608,6.6,26.8,0.14,133.4,1,0,TOR,120,94.4,0.619,13.2,21.9,0.19,127.1,0,2024,2024-01-10,True
740,CHO,125,97.6,0.58,11.7,32.4,0.261,128.0,0,1,IND,124,97.6,0.602,12.3,27.5,0.129,127.0,1,2024,2023-11-04,True
741,IND,124,97.6,0.602,12.3,27.5,0.129,127.0,1,0,CHO,125,97.6,0.58,11.7,32.4,0.261,128.0,0,2024,2023-11-04,False
742,CHI,91,97.3,0.451,11.1,15.6,0.087,93.6,0,1,MIA,112,97.3,0.549,13.9,22.5,0.268,115.2,1,2024,2024-04-19,False
743,MIA,112,97.3,0.549,13.9,22.5,0.268,115.2,1,0,CHI,91,97.3,0.451,11.1,15.6,0.087,93.6,0,2024,2024-04-19,True
744,CLE,112,96.4,0.647,14.1,9.1,0.141,116.2,0,1,PHO,98,96.4,0.524,15.3,14.3,0.119,101.7,1,2023,2023-01-08,True
745,PHO,98,96.4,0.524,15.3,14.3,0.119,101.7,1,0,CLE,112,96.4,0.647,14.1,9.1,0.141,116.2,0,2023,2023-01-08,False
746,UTA,110,94.4,0.547,12.1,23.3,0.2,116.5,0,1,DEN,115,94.4,0.593,7.9,15.8,0.151,121.8,1,2023,2022-12-10,False
747,DEN,115,94.4,0.593,7.9,15.8,0.151,121.8,1,0,UTA,110,94.4,0.547,12.1,23.3,0.2,116.5,0,2023,2022-12-10,True
748,PHI,117,101.7,0.613,14.0,10.3,0.238,115.1,0,1,MIL,118,101.7,0.574,12.6,18.6,0.309,116.1,1,2024,2023-10-26,False
749,MIL,118,101.7,0.574,12.6,18.6,0.309,116.1,1,0,PHI,117,101.7,0.613,14.0,10.3,0.238,115.1,0,2024,2023-10-26,True
750,WAS,112,99.5,0.566,13.1,10.3,0.217,112.6,0,1,ORL,122,99.5,0.613,14.2,19.4,0.3,122.6,1,2023,2023-03-21,False
751,ORL,122,99.5,0.613,14.2,19.4,0.3,122.6,1,0,WAS,112,99.5,0.566,13.1,10.3,0.217,112.6,0,2023,2023-03-21,True
752,UTA,107,95.5,0.525,12.3,16.7,0.288,112.0,0,1,ORL,115,95.5,0.61,14.2,25.0,0.273,120.4,1,2024,2024-02-29,False
753,ORL,115,95.5,0.61,14.2,25.0,0.273,120.4,1,0,UTA,107,95.5,0.525,12.3,16.7,0.288,112.0,0,2024,2024-02-29,True
754,UTA,97,100.4,0.482,16.5,13.5,0.205,96.6,0,1,DAL,113,100.4,0.558,11.7,25.0,0.198,112.6,1,2024,2024-03-21,False
755,DAL,113,100.4,0.558,11.7,25.0,0.198,112.6,1,0,UTA,97,100.4,0.482,16.5,13.5,0.205,96.6,0,2024,2024-03-21,True
756,IND,124,98.4,0.596,8.6,14.7,0.397,126.0,0,1,DAL,122,98.4,0.571,6.3,20.0,0.198,124.0,1,2023,2023-02-28,True
757,DAL,122,98.4,0.571,6.3,20.0,0.198,124.0,1,0,IND,124,98.4,0.596,8.6,14.7,0.397,126.0,0,2023,2023-02-28,False
758,SAS,142,102.8,0.597,13.3,31.8,0.255,125.1,0,1,SAC,134,102.8,0.529,11.4,25.5,0.243,118.1,1,2023,2023-04-02,True
759,SAC,134,102.8,0.529,11.4,25.5,0.243,118.1,1,0,SAS,142,102.8,0.597,13.3,31.8,0.255,125.1,0,2023,2023-04-02,False
760,MIL,149,107.1,0.677,14.5,42.4,0.247,139.1,0,1,IND,136,107.1,0.594,6.7,20.8,0.158,127.0,1,2023,2023-03-29,True
761,IND,136,107.1,0.594,6.7,20.8,0.158,127.0,1,0,MIL,149,107.1,0.677,14.5,42.4,0.247,139.1,0,2023,2023-03-29,False
762,ATL,105,100.7,0.474,7.9,21.4,0.122,104.3,0,1,LAL,136,100.7,0.661,7.5,11.8,0.189,135.1,1,2024,2024-03-18,False
763,LAL,136,100.7,0.661,7.5,11.8,0.189,135.1,1,0,ATL,105,100.7,0.474,7.9,21.4,0.122,104.3,0,2024,2024-03-18,True
764,PHO,102,97.2,0.483,9.2,16.7,0.193,104.9,0,1,DEN,118,97.2,0.571,9.3,22.7,0.247,121.4,1,2023,2023-05-09,False
765,DEN,118,97.2,0.571,9.3,22.7,0.247,121.4,1,0,PHO,102,97.2,0.483,9.2,16.7,0.193,104.9,0,2023,2023-05-09,True
766,HOU,109,95.7,0.494,14.1,36.4,0.31,113.9,0,1,TOR,116,95.7,0.485,10.5,40.0,0.167,121.2,1,2023,2022-11-09,False
767,TOR,116,95.7,0.485,10.5,40.0,0.167,121.2,1,0,HOU,109,95.7,0.494,14.1,36.4,0.31,113.9,0,2023,2022-11-09,True
768,NOP,127,95.8,0.621,11.0,32.5,0.218,132.5,0,1,SAC,117,95.8,0.529,11.6,27.5,0.318,122.1,1,2024,2023-12-04,True
769,SAC,117,95.8,0.529,11.6,27.5,0.318,122.1,1,0,NOP,127,95.8,0.621,11.0,32.5,0.218,132.5,0,2024,2023-12-04,False
770,LAL,116,103.5,0.543,14.4,18.4,0.329,112.1,0,1,UTA,139,103.5,0.642,11.8,27.8,0.179,134.3,1,2023,2022-11-07,False
771,UTA,139,103.5,0.642,11.8,27.8,0.179,134.3,1,0,LAL,116,103.5,0.543,14.4,18.4,0.329,112.1,0,2023,2022-11-07,True
772,MIA,118,89.9,0.601,7.9,23.7,0.202,131.3,0,1,CHI,100,89.9,0.525,11.1,17.1,0.185,111.3,1,2024,2023-11-20,True
773,CHI,100,89.9,0.525,11.1,17.1,0.185,111.3,1,0,MIA,118,89.9,0.601,7.9,23.7,0.202,131.3,0,2024,2023-11-20,False
774,LAC,110,96.4,0.569,15.2,16.3,0.238,114.1,0,1,MIA,115,96.4,0.578,7.7,16.3,0.122,119.3,1,2023,2022-12-08,False
775,MIA,115,96.4,0.578,7.7,16.3,0.122,119.3,1,0,LAC,110,96.4,0.569,15.2,16.3,0.238,114.1,0,2023,2022-12-08,True
776,MIL,92,96.8,0.433,13.3,25.0,0.156,95.0,0,1,HOU,97,96.8,0.473,11.1,20.4,0.121,100.2,1,2023,2022-12-11,False
777,HOU,97,96.8,0.473,11.1,20.4,0.121,100.2,1,0,MIL,92,96.8,0.433,13.3,25.0,0.156,95.0,0,2023,2022-12-11,True
778,LAL,105,108.7,0.447,14.5,14.6,0.341,96.6,0,1,PHO,115,108.7,0.549,12.6,17.4,0.029,105.8,1,2023,2022-11-22,False
779,PHO,115,108.7,0.549,12.6,17.4,0.029,105.8,1,0,LAL,105,108.7,0.447,14.5,14.6,0.341,96.6,0,2023,2022-11-22,True
780,HOU,107,102.4,0.474,12.5,30.6,0.143,104.5,0,1,ATL,117,102.4,0.539,8.2,9.3,0.222,114.3,1,2023,2022-10-19,False
781,ATL,117,102.4,0.539,8.2,9.3,0.222,114.3,1,0,HOU,107,102.4,0.474,12.5,30.6,0.143,104.5,0,2023,2022-10-19,True
782,CHI,97,94.7,0.517,11.5,16.7,0.068,102.4,0,1,WAS,100,94.7,0.506,15.7,27.9,0.207,105.6,1,2023,2023-01-11,False
783,WAS,100,94.7,0.506,15.7,27.9,0.207,105.6,1,0,CHI,97,94.7,0.517,11.5,16.7,0.068,102.4,0,2023,2023-01-11,True
784,SAS,109,92.9,0.553,14.6,30.6,0.176,117.3,0,1,CLE,117,92.9,0.622,13.6,31.4,0.256,125.9,1,2023,2023-02-13,False
785,CLE,117,92.9,0.622,13.6,31.4,0.256,125.9,1,0,SAS,109,92.9,0.553,14.6,30.6,0.176,117.3,0,2023,2023-02-13,True
786,UTA,124,99.6,0.633,11.9,18.6,0.111,124.5,0,1,POR,134,99.6,0.669,9.4,18.2,0.169,134.5,1,2023,2023-01-25,False
787,POR,134,99.6,0.669,9.4,18.2,0.169,134.5,1,0,UTA,124,99.6,0.633,11.9,18.6,0.111,124.5,0,2023,2023-01-25,True
788,CHO,128,98.5,0.648,9.4,18.9,0.159,130.0,0,1,MIN,125,98.5,0.631,12.0,17.6,0.226,126.9,1,2024,2024-01-22,True
789,MIN,125,98.5,0.631,12.0,17.6,0.226,126.9,1,0,CHO,128,98.5,0.648,9.4,18.9,0.159,130.0,0,2024,2024-01-22,False
790,ATL,102,96.4,0.5,14.5,22.7,0.172,105.8,0,1,CLE,114,96.4,0.671,19.2,10.7,0.286,118.2,1,2023,2022-11-21,False
791,CLE,114,96.4,0.671,19.2,10.7,0.286,118.2,1,0,ATL,102,96.4,0.5,14.5,22.7,0.172,105.8,0,2023,2022-11-21,True
792,MIA,87,92.0,0.425,15.1,23.4,0.238,94.6,0,1,CLE,113,92.0,0.608,17.4,40.6,0.145,122.8,1,2023,2022-11-20,False
793,CLE,113,92.0,0.608,17.4,40.6,0.145,122.8,1,0,MIA,87,92.0,0.425,15.1,23.4,0.238,94.6,0,2023,2022-11-20,True
794,HOU,121,103.6,0.562,12.9,21.4,0.236,116.7,0,1,OKC,153,103.6,0.686,6.9,26.5,0.206,147.6,1,2023,2023-02-04,False
795,OKC,153,103.6,0.686,6.9,26.5,0.206,147.6,1,0,HOU,121,103.6,0.562,12.9,21.4,0.236,116.7,0,2023,2023-02-04,True
796,DEN,113,90.5,0.553,7.8,26.8,0.224,124.9,0,1,LAL,111,90.5,0.512,5.8,21.6,0.267,122.7,1,2023,2023-05-22,True
797,LAL,111,90.5,0.512,5.8,21.6,0.267,122.7,1,0,DEN,113,90.5,0.553,7.8,26.8,0.224,124.9,0,2023,2023-05-22,False
798,DEN,108,88.6,0.582,6.4,14.7,0.203,121.9,0,1,MIA,95,88.6,0.5,13.9,21.6,0.218,107.2,1,2023,2023-06-09,True
799,MIA,95,88.6,0.5,13.9,21.6,0.218,107.2,1,0,DEN,108,88.6,0.582,6.4,14.7,0.203,121.9,0,2023,2023-06-09,False
800,TOR,123,102.1,0.564,9.4,24.4,0.078,120.4,0,1,ATL,121,102.1,0.491,7.2,35.7,0.16,118.5,1,2024,2024-02-23,True
801,ATL,121,102.1,0.491,7.2,35.7,0.16,118.5,1,0,TOR,123,102.1,0.564,9.4,24.4,0.078,120.4,0,2024,2024-02-23,False
802,DET,107,97.5,0.526,5.7,13.0,0.074,109.7,0,1,DAL,89,97.5,0.482,18.5,20.9,0.108,91.3,1,2024,2024-04-12,True
803,DAL,89,97.5,0.482,18.5,20.9,0.108,91.3,1,0,DET,107,97.5,0.526,5.7,13.0,0.074,109.7,0,2024,2024-04-12,False
804,MIN,114,105.7,0.538,15.9,25.5,0.176,107.9,0,1,HOU,119,105.7,0.563,16.5,29.3,0.227,112.6,1,2023,2023-01-23,False
805,HOU,119,105.7,0.563,16.5,29.3,0.227,112.6,1,0,MIN,114,105.7,0.538,15.9,25.5,0.176,107.9,0,2023,2023-01-23,True
806,ORL,105,98.7,0.451,6.8,23.2,0.127,106.4,0,1,LAL,111,98.7,0.545,14.0,22.5,0.333,112.5,1,2023,2023-03-19,False
807,LAL,111,98.7,0.545,14.0,22.5,0.333,112.5,1,0,ORL,105,98.7,0.451,6.8,23.2,0.127,106.4,0,2023,2023-03-19,True
808,NOP,106,99.0,0.577,17.1,9.1,0.205,107.0,0,1,ORL,121,99.0,0.628,12.9,25.0,0.151,122.2,1,2024,2024-03-21,False
809,ORL,121,99.0,0.628,12.9,25.0,0.151,122.2,1,0,NOP,106,99.0,0.577,17.1,9.1,0.205,107.0,0,2024,2024-03-21,True
810,MIN,104,98.0,0.531,17.4,21.4,0.222,106.1,0,1,GSW,101,98.0,0.494,16.7,28.3,0.159,103.0,1,2024,2023-11-14,True
811,GSW,101,98.0,0.494,16.7,28.3,0.159,103.0,1,0,MIN,104,98.0,0.531,17.4,21.4,0.222,106.1,0,2024,2023-11-14,False
812,LAL,90,97.1,0.436,14.6,20.0,0.174,92.7,0,1,IND,109,97.1,0.539,7.8,13.6,0.146,112.3,1,2024,2024-03-29,False
813,IND,109,97.1,0.539,7.8,13.6,0.146,112.3,1,0,LAL,90,97.1,0.436,14.6,20.0,0.174,92.7,0,2024,2024-03-29,True
814,LAC,95,90.5,0.48,14.6,20.0,0.289,105.0,0,1,SAC,109,90.5,0.489,8.8,40.8,0.207,120.4,1,2024,2024-04-02,False
815,SAC,109,90.5,0.489,8.8,40.8,0.207,120.4,1,0,LAC,95,90.5,0.48,14.6,20.0,0.289,105.0,0,2024,2024-04-02,True
816,OKC,134,93.2,0.741,16.3,35.7,0.173,143.8,0,1,POR,91,93.2,0.453,15.3,28.3,0.165,97.7,1,2024,2023-11-19,True
817,POR,91,93.2,0.453,15.3,28.3,0.165,97.7,1,0,OKC,134,93.2,0.741,16.3,35.7,0.173,143.8,0,2024,2023-11-19,False
818,DET,112,99.1,0.455,8.6,30.0,0.348,113.0,0,1,BOS,128,99.1,0.636,11.0,19.5,0.182,129.2,1,2023,2022-11-09,False
819,BOS,128,99.1,0.636,11.0,19.5,0.182,129.2,1,0,DET,112,99.1,0.455,8.6,30.0,0.348,113.0,0,2023,2022-11-09,True
820,CLE,95,96.0,0.514,17.9,15.0,0.257,99.0,0,1,NYK,89,96.0,0.375,11.0,28.6,0.217,92.7,1,2024,2023-11-01,True
821,NYK,89,96.0,0.375,11.0,28.6,0.217,92.7,1,0,CLE,95,96.0,0.514,17.9,15.0,0.257,99.0,0,2024,2023-11-01,False
822,OKC,123,94.9,0.516,6.2,27.7,0.304,129.7,0,1,NOP,118,94.9,0.534,9.9,35.9,0.287,124.4,1,2023,2023-04-12,True
823,NOP,118,94.9,0.534,9.9,35.9,0.287,124.4,1,0,OKC,123,94.9,0.516,6.2,27.7,0.304,129.7,0,2023,2023-04-12,False
824,TOR,104,99.8,0.431,10.1,28.6,0.245,104.2,0,1,IND,118,99.8,0.616,18.6,28.9,0.207,118.2,1,2023,2022-11-12,False
825,IND,118,99.8,0.616,18.6,28.9,0.207,118.2,1,0,TOR,104,99.8,0.431,10.1,28.6,0.245,104.2,0,2023,2022-11-12,True
826,DAL,110,94.9,0.635,17.4,20.5,0.141,115.9,0,1,LAC,104,94.9,0.512,10.4,20.0,0.186,109.6,1,2023,2023-02-08,True
827,LAC,104,94.9,0.512,10.4,20.0,0.186,109.6,1,0,DAL,110,94.9,0.635,17.4,20.5,0.141,115.9,0,2023,2023-02-08,False
828,PHI,115,91.6,0.582,9.0,25.0,0.291,125.6,0,1,BOS,103,91.6,0.47,7.6,18.4,0.301,112.5,1,2023,2023-05-09,True
829,BOS,103,91.6,0.47,7.6,18.4,0.301,112.5,1,0,PHI,115,91.6,0.582,9.0,25.0,0.291,125.6,0,2023,2023-05-09,False
830,PHI,123,94.4,0.608,9.4,28.2,0.182,130.3,0,1,CLE,121,94.4,0.549,8.8,32.6,0.217,128.2,1,2024,2024-02-12,True
831,CLE,121,94.4,0.549,8.8,32.6,0.217,128.2,1,0,PHI,123,94.4,0.608,9.4,28.2,0.182,130.3,0,2024,2024-02-12,False
832,LAL,107,98.6,0.593,16.3,13.2,0.136,108.5,0,1,MIA,108,98.6,0.534,15.2,25.0,0.159,109.5,1,2024,2023-11-06,False
833,MIA,108,98.6,0.534,15.2,25.0,0.159,109.5,1,0,LAL,107,98.6,0.593,16.3,13.2,0.136,108.5,0,2024,2023-11-06,True
834,MIA,112,96.0,0.539,6.7,17.4,0.18,116.7,0,1,TOR,103,96.0,0.512,13.0,18.2,0.174,107.3,1,2024,2023-12-06,True
835,TOR,103,96.0,0.512,13.0,18.2,0.174,107.3,1,0,MIA,112,96.0,0.539,6.7,17.4,0.18,116.7,0,2024,2023-12-06,False
836,LAC,117,96.0,0.574,11.0,25.6,0.182,121.8,0,1,UTA,103,96.0,0.506,12.1,21.6,0.214,107.3,1,2024,2023-12-08,True
837,UTA,103,96.0,0.506,12.1,21.6,0.214,107.3,1,0,LAC,117,96.0,0.574,11.0,25.6,0.182,121.8,0,2024,2023-12-08,False
838,GSW,118,97.4,0.556,6.3,25.0,0.092,121.2,0,1,MIL,129,97.4,0.612,10.6,32.6,0.149,132.5,1,2024,2024-01-13,False
839,MIL,129,97.4,0.612,10.6,32.6,0.149,132.5,1,0,GSW,118,97.4,0.556,6.3,25.0,0.092,121.2,0,2024,2024-01-13,True
840,PHI,95,102.7,0.422,15.0,17.3,0.301,92.5,0,1,ATL,104,102.7,0.477,15.5,23.4,0.227,101.2,1,2023,2022-11-10,False
841,ATL,104,102.7,0.477,15.5,23.4,0.227,101.2,1,0,PHI,95,102.7,0.422,15.0,17.3,0.301,92.5,0,2023,2022-11-10,True
842,WAS,115,102.5,0.531,7.9,18.4,0.112,112.2,0,1,LAC,140,102.5,0.644,7.1,23.1,0.202,136.6,1,2024,2024-03-01,False
843,LAC,140,102.5,0.644,7.1,23.1,0.202,136.6,1,0,WAS,115,102.5,0.531,7.9,18.4,0.112,112.2,0,2024,2024-03-01,True
844,MIN,119,99.8,0.58,13.2,28.6,0.193,119.2,0,1,DAL,101,99.8,0.512,14.2,10.8,0.193,101.2,1,2024,2023-12-14,True
845,DAL,101,99.8,0.512,14.2,10.8,0.193,101.2,1,0,MIN,119,99.8,0.58,13.2,28.6,0.193,119.2,0,2024,2023-12-14,False
846,SAS,84,98.7,0.42,12.8,18.5,0.126,85.1,0,1,NOP,119,98.7,0.617,14.9,15.6,0.235,120.5,1,2023,2023-03-21,False
847,NOP,119,98.7,0.617,14.9,15.6,0.235,120.5,1,0,SAS,84,98.7,0.42,12.8,18.5,0.126,85.1,0,2023,2023-03-21,True
848,UTA,106,92.6,0.506,11.2,26.2,0.265,114.5,0,1,SAC,127,92.6,0.655,13.7,37.1,0.202,137.2,1,2024,2024-03-31,False
849,SAC,127,92.6,0.655,13.7,37.1,0.202,137.2,1,0,UTA,106,92.6,0.506,11.2,26.2,0.265,114.5,0,2024,2024-03-31,True
850,GSW,120,95.3,0.536,9.4,34.7,0.165,125.9,0,1,DET,109,95.3,0.556,13.6,20.6,0.25,114.4,1,2024,2023-11-06,True
851,DET,109,95.3,0.556,13.6,20.6,0.25,114.4,1,0,GSW,120,95.3,0.536,9.4,34.7,0.165,125.9,0,2024,2023-11-06,False
852,TOR,127,87.6,0.545,9.1,26.2,0.168,120.0,0,1,OKC,135,87.6,0.577,8.1,27.5,0.073,127.5,1,2024,2024-02-04,False
853,OKC,135,87.6,0.577,8.1,27.5,0.073,127.5,1,0,TOR,127,87.6,0.545,9.1,26.2,0.168,120.0,0,2024,2024-02-04,True
854,UTA,119,98.6,0.516,10.3,34.1,0.234,120.7,0,1,DET,111,98.6,0.552,17.5,29.3,0.186,112.6,1,2024,2023-12-21,True
855,DET,111,98.6,0.552,17.5,29.3,0.186,112.6,1,0,UTA,119,98.6,0.516,10.3,34.1,0.234,120.7,0,2024,2023-12-21,False
