,team,total,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,Home,index_opp,team_opp,total_opp,Pace_opp,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp,ORtg_opp,Home_opp,season,date,won
370,MIL,96,91.9,0.53,13.0,17.9,0.096,104.5,0,1,DET,105,91.9,0.526,11.7,19.4,0.295,114.2,1,2018,2017-11-03,False
371,DET,105,91.9,0.526,11.7,19.4,0.295,114.2,1,0,MIL,96,91.9,0.53,13.0,17.9,0.096,104.5,0,2018,2017-11-03,True
372,PHO,96,106.1,0.468,13.3,13.5,0.097,90.5,0,1,LAL,120,106.1,0.56,15.7,25.0,0.185,113.1,1,2019,2018-12-02,False
373,LAL,120,106.1,0.56,15.7,25.0,0.185,113.1,1,0,PHO,96,106.1,0.468,13.3,13.5,0.097,90.5,0,2019,2018-12-02,True
374,GSW,108,103.9,0.527,9.9,8.5,0.108,103.9,0,1,UTA,127,103.9,0.585,13.4,31.1,0.181,122.2,1,2021,2021-01-23,False
375,UTA,127,103.9,0.585,13.4,31.1,0.181,122.2,1,0,GSW,108,103.9,0.527,9.9,8.5,0.108,103.9,0,2021,2021-01-23,True
376,MEM,125,103.5,0.576,16.1,31.4,0.318,120.8,0,1,SAC,129,103.5,0.62,9.2,7.0,0.313,124.6,1,2020,2020-02-20,False
377,SAC,129,103.5,0.62,9.2,7.0,0.313,124.6,1,0,MEM,125,103.5,0.576,16.1,31.4,0.318,120.8,0,2020,2020-02-20,True
378,OKC,109,92.1,0.538,12.5,39.5,0.121,118.3,0,1,DAL,106,92.1,0.517,7.8,18.9,0.184,115.1,1,2016,2016-01-22,True
379,DAL,106,92.1,0.517,7.8,18.9,0.184,115.1,1,0,OKC,109,92.1,0.538,12.5,39.5,0.121,118.3,0,2016,2016-01-22,False
380,SAS,92,91.3,0.452,13.9,28.3,0.19,100.7,0,1,OKC,102,91.3,0.494,10.1,34.9,0.157,111.7,1,2017,2017-03-09,False
381,OKC,102,91.3,0.494,10.1,34.9,0.157,111.7,1,0,SAS,92,91.3,0.452,13.9,28.3,0.19,100.7,0,2017,2017-03-09,True
382,SAS,118,97.8,0.554,5.7,13.3,0.174,120.7,0,1,LAL,109,97.8,0.558,12.0,20.9,0.151,111.5,1,2021,2021-01-07,True
383,LAL,109,97.8,0.558,12.0,20.9,0.151,111.5,1,0,SAS,118,97.8,0.554,5.7,13.3,0.174,120.7,0,2021,2021-01-07,False
384,DET,94,98.8,0.45,8.5,10.2,0.144,95.1,0,1,UTA,100,98.8,0.463,15.1,25.0,0.325,101.2,1,2019,2019-01-14,False
385,UTA,100,98.8,0.463,15.1,25.0,0.325,101.2,1,0,DET,94,98.8,0.45,8.5,10.2,0.144,95.1,0,2019,2019-01-14,True
386,PHI,116,96.5,0.574,9.1,24.4,0.17,120.2,0,1,CHI,96,96.5,0.472,7.7,13.7,0.135,99.5,1,2019,2019-04-06,True
387,CHI,96,96.5,0.472,7.7,13.7,0.135,99.5,1,0,PHI,116,96.5,0.574,9.1,24.4,0.17,120.2,0,2019,2019-04-06,False
388,OKC,102,96.4,0.564,16.4,14.6,0.179,105.8,0,1,UTA,115,96.4,0.606,17.1,32.5,0.225,119.3,1,2018,2018-04-21,False
389,UTA,115,96.4,0.606,17.1,32.5,0.225,119.3,1,0,OKC,102,96.4,0.564,16.4,14.6,0.179,105.8,0,2018,2018-04-21,True
390,GSW,106,96.4,0.554,14.2,17.5,0.169,110.0,0,1,OKC,98,96.4,0.488,12.2,18.8,0.163,101.7,1,2022,2021-10-26,True
391,OKC,98,96.4,0.488,12.2,18.8,0.163,101.7,1,0,GSW,106,96.4,0.554,14.2,17.5,0.169,110.0,0,2022,2021-10-26,False
392,CHI,92,103.1,0.408,13.0,17.3,0.185,89.2,0,1,IND,104,103.1,0.471,11.5,17.4,0.253,100.9,1,2016,2015-11-27,False
393,IND,104,103.1,0.471,11.5,17.4,0.253,100.9,1,0,CHI,92,103.1,0.408,13.0,17.3,0.185,89.2,0,2016,2015-11-27,True
394,HOU,118,102.3,0.533,9.0,14.9,0.231,115.3,0,1,CHO,113,102.3,0.542,15.9,21.1,0.277,110.4,1,2019,2019-02-27,True
395,CHO,113,102.3,0.542,15.9,21.1,0.277,110.4,1,0,HOU,118,102.3,0.533,9.0,14.9,0.231,115.3,0,2019,2019-02-27,False
396,UTA,126,93.5,0.687,14.4,24.2,0.145,134.8,0,1,CLE,113,93.5,0.555,5.7,22.0,0.132,120.9,1,2020,2020-03-02,True
397,CLE,113,93.5,0.555,5.7,22.0,0.132,120.9,1,0,UTA,126,93.5,0.687,14.4,24.2,0.145,134.8,0,2020,2020-03-02,False
398,IND,109,97.3,0.58,16.9,17.6,0.185,112.0,0,1,MIN,103,97.3,0.506,10.6,13.6,0.259,105.8,1,2017,2017-01-26,True
399,MIN,103,97.3,0.506,10.6,13.6,0.259,105.8,1,0,IND,109,97.3,0.58,16.9,17.6,0.185,112.0,0,2017,2017-01-26,False
400,NOP,109,103.8,0.495,13.6,20.8,0.196,105.0,0,1,MIN,144,103.8,0.727,11.9,17.9,0.221,138.7,1,2016,2016-04-13,False
401,MIN,144,103.8,0.727,11.9,17.9,0.221,138.7,1,0,NOP,109,103.8,0.495,13.6,20.8,0.196,105.0,0,2016,2016-04-13,True
